en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
"Choose at which level table presets are allowed to be
                      configured";Kies op welk niveau tabelvoorkeursinstellingen mogen worden geconfigureerd;Choisissez à quel niveau les présélections de table peuvent être configurées;Wählen Sie auf welcher Ebene Tabellenvorgaben konfiguriert werden dürfen;Välj på vilken nivå tabellinställningar får konfigureras;Wybierz, na którym poziomie można konfigurować ustawienia tabeli;Velg på hvilket nivå tabellinnstillinger kan konfigureres;Elija en qué nivel se permiten configurar los ajustes de tabla;Scegli a quale livello è consentita la configurazione dei preset della tabella;Escolha em qual nível os presets de tabela podem ser configurados;Izvēlieties, kurā līmenī tabulu iestatījumi var tikt konfigurēti;Pasirinkite, kuriame lygyje galima konfigūruoti lentelių nustatymus
Subscript;Subscriptie;Souscription;Abonnement;Prenumeration;Subskrypcja;Abonnement;Suscripción;Sottoscrizione;Assinatura;Abonements;Prenumerata
"There is
                  a very low contrast ratio between the text/background color!";Er is een zeer laag contrast tussen de tekst/achtergrondkleur!;Il y a un très faible rapport de contraste entre la couleur du texte et celle de l'arrière-plan !;Es gibt ein sehr niedriges Kontrastverhältnis zwischen der Text-/Hintergrundfarbe!;Det finns en mycket låg kontrast mellan textens/bakgrundens färg!;Istnieje bardzo niski współczynnik kontrastu między kolorem tekstu/tła!;Det er et veldig lavt kontrastforhold mellom tekst-/bakgrunnsfargen!;¡Hay una relación de contraste muy baja entre el color del texto y el fondo!;C'è un rapporto di contrasto molto basso tra il colore del testo e quello dello sfondo!;Há uma relação de contraste muito baixa entre a cor do texto e a cor de fundo!;Teksta/fona krāsas kontrasta attiecība ir ļoti zema!;Yra labai mažas kontrasto santykis tarp teksto/fono spalvos!
Filter value;Filterwaarde;Valeur de filtre;Filterwert;Filtervärde;Wartość filtra;Filterverdi;Valor de filtro;Valore del filtro;Valor do filtro;Filtra vērtība;Filtru vertė
Please enter a valid hyperlink;Voer een geldige hyperlink in;Veuillez entrer un lien hypertexte valide;Bitte geben Sie einen gültigen Hyperlink ein;Vänligen ange en giltig hyperlänk;Proszę wprowadzić prawidłowy hiperlink;Vennligst skriv inn en gyldig hyperkobling;Por favor, introduzca un hipervínculo válido;Si prega di inserire un collegamento ipertestuale valido;Por favor, insira um hyperlink válido;Lūdzu, ievadiet derīgu hipersaiti;Prašome įvesti galiojantį hiperlinką
Data sort by;Gegevens sorteren op;Trier les données par;Daten sortieren nach;Sortera data efter;Sortowanie danych według;Datasortering etter;Ordenar datos por;Ordina dati per;Classificar dados por;Datu kārtošana pēc;Duomenų rūšiavimas pagal
"Edit reverse text
            values";Bewerk omgekeerde tekstwaarden;Modifier les valeurs de texte inversé;Umgekehrte Textwerte bearbeiten;Redigera omvända textvärden;Edytuj odwrotne wartości tekstowe;Rediger omvendte tekstverdier;Editar valores de texto inverso;Modifica i valori di testo inverso;Editar valores de texto reverso;Rediģēt apgrieztās teksta vērtības;Redaguoti atvirkštines teksto reikšmes
"The dashboard image
                    is
                    shown in the header on the dashboard page in the EMS.";De dashboardafbeelding wordt weergegeven in de koptekst op de dashboardpagina in de EMS.;L'image du tableau de bord est affichée dans l'en-tête de la page du tableau de bord dans l'EMS.;Das Dashboard-Bild wird im Header der Dashboard-Seite im EMS angezeigt.;Dashboardbilden visas i rubriken på dashboard-sidan i EMS.;Obraz pulpitu jest wyświetlany w nagłówku na stronie pulpitu w EMS.;Dashboardbildet vises i overskriften på dashbord-siden i EMS.;La imagen del panel se muestra en el encabezado de la página del panel en el EMS.;L'immagine del dashboard è mostrata nell'intestazione della pagina del dashboard nell'EMS.;A imagem do painel é exibida no cabeçalho da página do painel no EMS.;Datu paneļa attēls tiek rādīts galvenē datu paneļa lapā EMS.;Darbastalio vaizdas rodomas antraštėje darbalaukio puslapyje EMS.
"Add an appendix (PDF)
                  to the privacy policy. The privacy policy is displayed in the cookie bar, which is required by
                  European law. This can be used to stay compliant with the GDPR.";Voeg een bijlage (PDF) toe aan het privacybeleid. Het privacybeleid wordt weergegeven in de cookiebalk, wat vereist is volgens de Europese wetgeving. Dit kan worden gebruikt om compliant te blijven met de GDPR.;Ajoutez une annexe (PDF) à la politique de confidentialité. La politique de confidentialité est affichée dans la barre de cookies, ce qui est requis par la loi européenne. Cela peut être utilisé pour rester conforme au RGPD.;Fügen Sie einen Anhang (PDF) zur Datenschutzrichtlinie hinzu. Die Datenschutzrichtlinie wird in der Cookie-Leiste angezeigt, was nach europäischem Recht erforderlich ist. Dies kann verwendet werden, um die GDPR-Konformität aufrechtzuerhalten.;Lägg till ett bilaga (PDF) till integritetspolicyn. Integritetspolicyn visas i cookie-raden, vilket krävs enligt europeisk lag. Detta kan användas för att förbli i överensstämmelse med GDPR.;Dodaj załącznik (PDF) do polityki prywatności. Polityka prywatności jest wyświetlana w pasku cookie, co jest wymagane przez prawo europejskie. Może to być użyte do zachowania zgodności z RODO.;Legg til et vedlegg (PDF) til personvernerklæringen. Personvernerklæringen vises i informasjonskapselbaren, noe som kreves av europeisk lov. Dette kan brukes for å forbli i samsvar med GDPR.;Agregue un apéndice (PDF) a la política de privacidad. La política de privacidad se muestra en la barra de cookies, lo cual es requerido por la ley europea. Esto se puede utilizar para cumplir con el GDPR.;Aggiungi un allegato (PDF) alla politica sulla privacy. La politica sulla privacy è visualizzata nella barra dei cookie, come richiesto dalla legge europea. Questo può essere utilizzato per rimanere conforme al GDPR.;Adicione um apêndice (PDF) à política de privacidade. A política de privacidade é exibida na barra de cookies, o que é exigido pela legislação europeia. Isso pode ser usado para permanecer em conformidade com o GDPR.;Pievienojiet pielikumu (PDF) privātuma politikai. Privātuma politika tiek rādīta sīkdatņu joslā, kas ir prasība saskaņā ar Eiropas likumiem. To var izmantot, lai saglabātu atbilstību GDPR.;Pridėkite priedą (PDF) prie privatumo politikos. Privatumo politika rodomas slapukų juostoje, kas yra reikalaujama pagal Europos teisę. Tai gali būti naudojama, kad būtų laikomasi GDPR.
Clear selection;Selectie wissen;Effacer la sélection;Auswahl löschen;Rensa val;Wyczyść wybór;Fjern valg;Borrar selección;Cancella selezione;Limpar seleção;Notīrīt atlasi;Išvalyti pasirinkimą
"Give sub-organizations a
                    discount based on the order value.";Geef sub-organisaties een korting op basis van de orderwaarde.;Accordez aux sous-organisations une remise en fonction de la valeur de la commande.;Geben Sie Unterorganisationen einen Rabatt basierend auf dem Bestellwert.;Ge suborganisationer en rabatt baserat på ordervärdet.;Przyznaj suborganizacjom rabat w zależności od wartości zamówienia.;Gi underorganisasjoner en rabatt basert på ordreverdien.;Otorgue a las suborganizaciones un descuento basado en el valor del pedido.;Dai sconti alle sub-organizzazioni in base al valore dell'ordine.;Dê descontos às suborganizações com base no valor do pedido.;Piešķiriet apakšorganizācijām atlaidi, pamatojoties uz pasūtījuma vērtību.;Suteikite suborganizacijoms nuolaidą, remiantis užsakymo verte.
Processing...;Verwerken...;Traitement...;Verarbeitung...;Bearbetar...;Przetwarzanie...;Behandler...;Procesando...;Elaborazione...;Processando...;Apstrāde...;Apdorojama...
Uploading file...;Bestand uploaden...;Téléchargement du fichier...;Datei wird hochgeladen...;Laddar upp fil...;Przesyłanie pliku...;Laster opp fil...;Subiendo archivo...;Caricamento del file...;Carregando arquivo...;Augšupielādē fails...;Failo įkėlimas...
Filter options;Filteropties;Options de filtre;Filteroptionen;Filteralternativ;Opcje filtrów;Filteralternativer;Opciones de filtro;Opzioni di filtro;Opções de filtro;Filtru opcijas;Filtrų parinktys
All recommendations for this quotation;Alle aanbevelingen voor deze offerte;Toutes les recommandations pour ce devis;Alle Empfehlungen für dieses Angebot;Alla rekommendationer för denna offert;Wszystkie rekomendacje dla tej wyceny;Alle anbefalinger for dette tilbudet;Todas las recomendaciones para esta cotización;Tutte le raccomandazioni per questo preventivo;Todas as recomendações para esta cotação;Visas rekomendācijas šai citātam;Visos rekomendacijos šiam pasiūlymui
Automatic;Automatisch;Automatique;Automatisch;Automatisk;Automatyczny;Automatisk;Automático;Automatico;Automático;Automātisks;Automatinis
Shared with you;Gedeeld met jou;Partagé avec vous;Geteilt mit Ihnen;Delat med dig;Udostępnione z tobą;Delt med deg;Compartido contigo;Condiviso con te;Compartilhado com você;Kopīgot ar jums;Bendrinta su jumis
Click to sort by code;Klik om te sorteren op code;Cliquez pour trier par code;Klicken Sie, um nach Code zu sortieren;Klicka för att sortera efter kod;Kliknij, aby sortować według kodu;Klikk for å sortere etter kode;Haz clic para ordenar por código;Clicca per ordinare per codice;Clique para classificar por código;Noklikšķiniet, lai kārtotu pēc koda;Spustelėkite, kad rūšiuotumėte pagal kodą
"Please avoid starting the category name with a number or using special characters in the category
            name.";Vermijd alstublieft om de categorienaam te beginnen met een nummer of speciale tekens in de categorienaam te gebruiken.;Veuillez éviter de commencer le nom de la catégorie par un chiffre ou d'utiliser des caractères spéciaux dans le nom de la catégorie.;Bitte vermeiden Sie es, den Kategorienamen mit einer Zahl zu beginnen oder Sonderzeichen im Kategorienamen zu verwenden.;Vänligen undvik att börja kategorinamnet med en siffra eller använda specialtecken i kategorinamnet.;Proszę unikać rozpoczynania nazwy kategorii od liczby lub używania znaków specjalnych w nazwie kategorii.;Vennligst unngå å starte kategorinavnet med et tall eller bruke spesialtegn i kategorinavnet.;Por favor, evite comenzar el nombre de la categoría con un número o usar caracteres especiales en el nombre de la categoría.;Si prega di evitare di iniziare il nome della categoria con un numero o di utilizzare caratteri speciali nel nome della categoria.;Por favor, evite começar o nome da categoria com um número ou usar caracteres especiais no nome da categoria.;Lūdzu, izvairieties sākt kategorijas nosaukumu ar skaitli vai izmantot īpašos simbolus kategorijas nosaukumā.;Prašome vengti pradėti kategorijos pavadinimą skaičiumi arba naudoti specialiuosius simbolius kategorijos pavadinime.
{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()};{selectedItemsCount.toString()}
Are you sure you want to restore this page?;Weet je zeker dat je deze pagina wilt herstellen?;Êtes-vous sûr de vouloir restaurer cette page ?;Sind Sie sicher, dass Sie diese Seite wiederherstellen möchten?;Är du säker på att du vill återställa den här sidan?;Czy na pewno chcesz przywrócić tę stronę?;Er du sikker på at du vil gjenopprette denne siden?;¿Estás seguro de que quieres restaurar esta página?;Sei sicuro di voler ripristinare questa pagina?;Tem certeza de que deseja restaurar esta página?;Vai tiešām vēlaties atjaunot šo lapu?;Ar tikrai norite atkurti šią puslapį?
News title;Nieuws titel;Titre de l'actualité;Nachrichtentitel;Nyhetstitel;Tytuł wiadomości;Nyhetstittel;Título de noticias;Titolo delle notizie;Título de notícias;Ziņu virsraksts;Naujienų pavadinimas
{confirm};bevestigen;confirmer;bestätigen;bekräfta;potwierdź;bekreft;confirmar;confermare;confirmar;apstiprināt;patvirtinti
Copy to...;Kopieer naar...;Copier vers...;Kopieren nach...;Kopiera till...;Kopiuj do...;Kopier til...;Copiar a...;Copia in...;Copiar para...;Kopēt uz...;Kopijuoti į...
Choose how rows are sorted in the table;Kies hoe rijen in de tabel worden gesorteerd;Choisissez comment les lignes sont triées dans le tableau;Wählen Sie, wie die Zeilen in der Tabelle sortiert werden;Välj hur rader sorteras i tabellen;Wybierz, jak są sortowane wiersze w tabeli;Velg hvordan rader sorteres i tabellen;Elija cómo se ordenan las filas en la tabla;Scegli come vengono ordinati i righe nella tabella;Escolha como as linhas são ordenadas na tabela;Izvēlieties, kā rindas tiek kārtotas tabulā;Pasirinkite, kaip eilutės rūšiuojamos lentelėje
"Highlight from
          constraints";Highlight van beperkingen;Mettre en évidence à partir des contraintes;Hervorheben aus Einschränkungen;Markera från begränsningar;Wyróżnij z ograniczeń;Utheve fra begrensninger;Resaltar de restricciones;Evidenziare da vincoli;Destaque de restrições;Izcelt no ierobežojumiem;Išryškinti iš apribojimų
Insert;Invoegen;Insérer;Einfügen;Infoga;Wstaw;Sett inn;Insertar;Inserire;Inserir;Ievietot;Įterpti
